name,link,title,fields of study
Nochlin Linda,https://www.nyu.edu/gsas/dept/fineart/people/faculty/nochlin.htm,Lila Acheson Wallace Professor of Modern Art,Fields of study: Contemporary Art; Nineteenth- and Twentieth-Century Art
Alexander Jonathan J.G.,https://www.nyu.edu/gsas/dept/fineart/people/faculty/alexander.htm,Sherman Fairchild Professor Emeritus of Fine Arts,Fields of study: Contemporary Art; Nineteenth- and Twentieth-Century Art
McCredie James R.,https://www.nyu.edu/gsas/dept/fineart/people/faculty/mccredie.htm,Sherman Fairchild Professor Emeritus of Fine Arts; Director Emeritus;Excavations in Samothrace,Fields of study: Archaeology; Architecture
Mathews Thomas F.,https://www.nyu.edu/gsas/dept/fineart/people/faculty/mathews.htm,John Langeloth Loeb Professor Emeritus in the History of Art,
Sullivan Edward J.,https://www.nyu.edu/gsas/dept/fineart/people/faculty/sullivan.htm,Helen Gould Sheppard Professor in the History of Art; Institute of Fine Arts and College of Arts and Sciences,Fields of Study: Contemporary Art; Latin American Art; Nineteenth- and Twentieth-Century Art
Brandt Kathleen Weil-Garris,,Professor of Fine Arts; Institute of Fine Arts and College of Arts and Science,Fields of Study: Architecture; Renaissance Art
Jonathan Brown,https://www.nyu.edu/gsas/dept/fineart/people/faculty/brown.htm,Carroll and Milton Petrie Professor of Fine Arts,Fields of study: Architecture; Latin American Art; Renaissance Art; Seventeenth- and Eighteenth-Century Art
Cohen Jean-Louis,https://www.nyu.edu/gsas/dept/fineart/people/faculty/cohen.htm,Sheldon H. Solow Professor in the History of Architecture,Fields of Study: Architecture; Contemporary Art; Nineteenth- and Twentieth-Century Art
Crow Thomas,https://www.nyu.edu/gsas/dept/fineart/people/faculty/crow.htm,Rosalie Solow Professor of Modern Art; Associate Provost for the Arts,Fields of Study: Contemporary Art; Nineteenth- and Twentieth-Century Art; Seventeenth- and Eighteenth-Century Art
Lubar Robert S.,https://www.nyu.edu/gsas/dept/fineart/people/faculty/lubar.htm,Associate Professor of Fine Arts,Fields of study: Latin American Art; Nineteenth- and Twentieth-Century Art
O'Connor David,https://www.nyu.edu/gsas/dept/fineart/people/faculty/oconnor.htm,Deputy Director; Lila Acheson Wallace Professor of Ancient Egyptian Art; Co-Director; Yale University-University of Pennsylvania-Institute of Fine Arts; NYU Excavations at Abydos,Fields of Study: Ancient Aegean; Egyptian; Greek and Roman Ary; Archaeology
Alexander Nagel,https://www.nyu.edu/gsas/dept/fineart/people/faculty/nagel.htm,Director of Graduate Studies; Professor of Fine Arts,Field of study: Renaissance Art
Soucek Priscilla,https://www.nyu.edu/gsas/dept/fineart/people/faculty/soucek.htm,John Langeloth Loeb Professor in the History of Art,Fields of Study: Architecture; Art of the Middle East and South Asia
Welch Katherine,https://www.nyu.edu/gsas/dept/fineart/people/faculty/welch.htm,Director of Masters Studies; Associate Professor of Fine Arts; Deputy Director; Excavations at Aphrodisias,Fields of study: Architecture; Archaeology
Hay Jonathan,https://www.nyu.edu/gsas/dept/fineart/people/faculty/hay.htm,Ailsa Mellon Bruce Professor of Fine Arts,Field of study: East Asian Art
Smith R. R. R.,https://www.nyu.edu/gsas/dept/fineart/people/faculty/smith.htm,Lincoln Professor of Classical Archaeology; University of Oxford; Director; Excavations at Aphrodisias,Fields of Study: Ancient Aegean; Egyptian; Greek and Roman Art; Archaeology; Architecture
Marconi Clemente,https://www.nyu.edu/gsas/dept/fineart/people/faculty/marconi.htm,James R. McCredie Professor in the History of Greek Art and Archaeology; University Professor,Fields of study: Ancient Aegean; Egyptian; Greek and Roman Art; Architecture; Archaeology